date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:42	49542/49542	---MCZ	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2019:21:42%20GMT	https://resmume.com/resume-ats-checker/	C:/My%20Web%20Sites/ats/resmume.com/resume-ats-checker/index.html	(from )
00:51:42	34/34	---M--	200	added ('OK')	text/plain	etag:W/%2222-1926e4f26b0%22	https://resmume.com/robots.txt		(from )
00:51:42	71959/71959	---MCZ	200	added ('OK')	text/css	etag:W/%2211917-1926e4f2a98%22	https://resmume.com/_next/static/css/40b47b22d0fa463e.css	C:/My%20Web%20Sites/ats/resmume.com/_next/static/css/40b47b22d0fa463e.css	(from https://resmume.com/resume-ats-checker/)
00:51:42	3744/3744	---MCZ	200	added ('OK')	text/css	etag:W/%22ea0-19202d58e38%22	https://resmume.com/_next/static/css/c51c5d8131edb0eb.css	C:/My%20Web%20Sites/ats/resmume.com/_next/static/css/c51c5d8131edb0eb.css	(from https://resmume.com/resume-ats-checker/)
00:51:42	5585/5585	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215d1-1926e4f3268%22	https://resmume.com/_next/static/chunks/webpack-6392b8d09ce6c937.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/webpack-6392b8d09ce6c937.js	(from https://resmume.com/resume-ats-checker/)
00:51:42	173198/173198	---MCZ	200	added ('OK')	application/javascript	etag:W/%222a48e-1915871dd98%22	https://resmume.com/_next/static/chunks/1dd3208c-95bf8756ffe34ca5.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/1dd3208c-95bf8756ffe34ca5.js	(from https://resmume.com/resume-ats-checker/)
00:51:43	123815/123815	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e3a7-1926e4f3268%22	https://resmume.com/_next/static/chunks/286-85c9e59ff149cf86.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/286-85c9e59ff149cf86.js	(from https://resmume.com/resume-ats-checker/)
00:51:43	833/833	---MCZ	200	added ('OK')	application/javascript	etag:W/%22341-1906b631148%22	https://resmume.com/_next/static/chunks/main-app-4d4afce8f9637be4.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/main-app-4d4afce8f9637be4.js	(from https://resmume.com/resume-ats-checker/)
00:51:43	104455/104455	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219807-19153b85110%22	https://resmume.com/_next/static/chunks/1049-384ced1d083d0ce8.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/1049-384ced1d083d0ce8.js	(from https://resmume.com/resume-ats-checker/)
00:51:43	32883/32883	---MCZ	200	added ('OK')	application/javascript	etag:W/%228073-19202d59608%22	https://resmume.com/_next/static/chunks/4045-19d8d2947e71e0f7.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/4045-19d8d2947e71e0f7.js	(from https://resmume.com/resume-ats-checker/)
00:51:43	13464/13464	---MCZ	200	added ('OK')	application/javascript	etag:W/%223498-1926935ea10%22	https://resmume.com/_next/static/chunks/9599-5b8ac6e753d06d81.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/9599-5b8ac6e753d06d81.js	(from https://resmume.com/resume-ats-checker/)
00:51:44	624/624	---MCZ	200	added ('OK')	application/javascript	etag:W/%22270-1920c1eb118%22	https://resmume.com/_next/static/chunks/app/resume-ats-checker/page-532ea6dec7b398a7.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/app/resume-ats-checker/page-532ea6dec7b398a7.js	(from https://resmume.com/resume-ats-checker/)
00:51:44	10970/10970	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ada-19202d59608%22	https://resmume.com/_next/static/chunks/app/layout-16d3496b75ea8919.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/app/layout-16d3496b75ea8919.js	(from https://resmume.com/resume-ats-checker/)
00:51:44	5651/5651	---M--	200	added ('OK')	image/png	etag:W/%221613-1926e4f26b0%22	https://resmume.com/icon.png?47b504cbb8113255	C:/My%20Web%20Sites/ats/resmume.com/iconde4e.png	(from https://resmume.com/resume-ats-checker/)
00:51:45	5018/5018	---M--	200	added ('OK')	image/png	etag:W/%22139a-1926e4f26b0%22	https://resmume.com/apple-icon.png?6aac90a2cdca0464	C:/My%20Web%20Sites/ats/resmume.com/apple-iconb1ca.png	(from https://resmume.com/resume-ats-checker/)
00:51:45	91693/91693	---MCZ	200	added ('OK')	application/javascript	etag:W/%221662d-1926e4f3268%22	https://resmume.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	C:/My%20Web%20Sites/ats/resmume.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js	(from https://resmume.com/resume-ats-checker/)
00:51:45	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267055fd4-4d7%22	https://resmume.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/ats/resmume.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://resmume.com/resume-ats-checker/)
